nama,umur,one day,one month,three months,six months,one year,two year,three year,five year
Schroder Dana Kombinasi,15.178082191780822,-0.333,-0.381,0.27399999999999997,1.9869999999999999,5.625,11.855,20.104,37.08
BNP Paribas Spektra,14.715068493150685,-0.784,-3.5029999999999997,-0.187,0.9979999999999999,4.575,0.501,15.241,12.692999999999998
BNP Paribas Equitra,14.476712328767123,-0.051000000000000004,-0.082,0.782,1.559,2.333,-1.394,4.093,8.086
Schroder Dana Terpadu II,13.789041095890411,-0.9249999999999999,-3.0269999999999997,0.23800000000000002,0.44799999999999995,2.1229999999999998,1.084,16.242,21.352
Schroder Dynamic Balanced Fund,5.720547945205479,-1.407,-4.52,-2.363,-3.241,0.338,0.253,17.8,21.802
Sucorinvest Flexi Fund,13.235616438356164,-0.975,-2.1,-2.9010000000000002,-5.478000000000001,-0.33,3.4479999999999995,31.71,28.959000000000003
Mandiri Investa Aktif,14.93972602739726,-1.02,-5.232,-0.8009999999999999,-0.9610000000000001,-0.637,-4.744000000000001,6.006,5.652
Syailendra Balanced Opportunity Fund,11.857534246575343,-1.451,-6.121,-1.217,-3.852,-2.5,-5.734,7.5009999999999994,9.954
Phillip Rupiah Balanced Fund,11.438356164383562,-0.33,-1.635,1.2229999999999999,-1.253,-2.672,-0.581,3.037,15.677
Mandiri Brawijaya Investa Berimbang,6.273972602739726,-1.046,-5.050000000000001,-1.78,-3.049,-3.512,8.529,5.535,3.734
Cipta Syariah Balance,11.868493150684932,-0.375,-1.061,0.752,3.782,-3.6319999999999997,-7.455,0.41200000000000003,-1.7670000000000001
Manulife Dana Campuran II,11.101369863013698,-0.959,-4.1610000000000005,-1.807,-4.011,-4.312,-10.605,-0.713,-0.314
Avrist Balanced - Amar Syariah,6.35068493150685,-1.225,-6.476999999999999,-4.283,-3.9149999999999996,-4.527,-5.67,-0.13999999999999999,-8.343
Simas Syariah Berkembang,5.558904109589041,-1.047,-5.202,-3.9669999999999996,-6.8309999999999995,-5.063,-3.2939999999999996,-0.751,7.963000000000001
TRIM Syariah Berimbang,13.178082191780822,-1.5939999999999999,-9.934,-8.884,-11.906,-6.165,-7.228999999999999,0.127,-2.122
HPAM Flexi Plus,8.61917808219178,-2.7289999999999996,-8.735,-4.202999999999999,-7.116,-7.065,-15.8,-5.271,40.304
Shinhan Balance Fund,7.131506849315069,-0.963,-3.8760000000000003,-7.8229999999999995,-8.934000000000001,-7.283,11.659,31.868999999999996,56.96
Simas Satu,19.12876712328767,-1.134,-5.561,-3.466,-5.675,-7.4270000000000005,2.083,7.596,16.747
Schroder Syariah Balanced Fund,10.805479452054794,-1.0250000000000001,-5.46,-5.025,-6.666999999999999,-7.686999999999999,-8.176,-2.31,5.258
Danareksa Anggrek Fleksibel,15.873972602739727,-1.0670000000000002,-3.92,-2.71,-5.689,-8.106,-14.033000000000001,-1.899,-0.097
Manulife Dana Tumbuh Berimbang,12.331506849315069,-1.133,-5.944,-3.055,-6.859,-8.225,-12.945,-5.827,-6.948
Principal Balanced Strategic Plus,7.756164383561644,-1.358,-6.79,-5.012,-7.779,-10.377,-18.149,-7.9719999999999995,-11.338
TRAM Alpha,6.83013698630137,-1.833,-7.664999999999999,-5.913,-12.714,-10.544,-9.969,5.840999999999999,2.083
TRIM Kombinasi 2,13.306849315068494,-2.183,-8.386000000000001,-6.386,-12.958,-11.072,-5.16,11.446000000000002,2.024
Simas Satu Prima,7.197260273972603,-1.423,-6.768000000000001,-4.501,-6.047000000000001,-11.278,-0.079,5.972,12.280000000000001
Kresna Flexima,12.013698630136986,-0.807,-7.2749999999999995,-7.466,-11.162999999999998,-11.679,-10.213,4.099,3.5290000000000004
Cipta Dinamika,9.76986301369863,-1.55,-3.551,-6.614000000000001,-9.386999999999999,-12.34,-7.055,-2.243,11.117
Setiabudi Dana Campuran,2.4246575342465753,-1.4200000000000002,-7.22,-6.02,-7.156999999999999,-12.989999999999998,-16.284000000000002,,
Semesta Dana Maxima,15.397260273972602,-1.7999999999999998,-10.156,-7.968,-10.655000000000001,-13.385,-12.415,2.79,7.456
Bahana Dana Infrastruktur,22.76986301369863,-1.617,-7.127999999999999,-4.587,-9.085,-14.625,-18.131,-10.617,-8.616
Pratama Berimbang,14.904109589041095,-1.628,-8.713,-6.275,-11.591,-15.276,-22.267,-5.684,-8.472
MNC Dana Kombinasi Icon,7.410958904109589,-1.624,-6.934,-3.433,-8.973,-17.974,-17.09,-17.326,-19.408
Prospera Balance,14.712328767123287,-1.328,-7.725,-8.542,-16.785,-22.017,-13.745,3.694,3.243
MNC Dana Kombinasi,12.2,0.008,-0.328,-12.26,-20.136000000000003,-30.052,-37.402,-39.486,-50.121
Narada Campuran I,3.495890410958904,-1.8110000000000002,-22.445999999999998,-49.523,-75.976,-77.68599999999999,-71.891,-70.147,
