nama,umur,one day,one month,three months,six months,one year,two year,three year,five year
Sucorinvest Bond Fund,3.2246575342465755,-0.22999999999999998,0.8869999999999999,4.195,8.187999999999999,16.364,13.123999999999999,26.976,
Syailendra Fixed Income Fund,8.227397260273973,-0.377,0.745,4.223,7.0169999999999995,15.551,14.688,27.979,47.133
Cipta Bond,5.698630136986301,-0.523,0.073,3.9919999999999995,7.216,14.852000000000002,16.721,25.117,24.011
Manulife Obligasi Negara Indonesia II,11.101369863013698,-0.335,0.5599999999999999,4.267,7.1819999999999995,14.641000000000002,13.955,29.412,37.844
RHB Fixed Income Fund 2,3.6082191780821917,-0.329,0.573,3.84,7.239,14.302999999999999,13.758000000000001,26.839000000000002,
TRAM Strategic Plus,8.402739726027397,-0.297,0.538,4.021,6.836,13.632,11.529,23.766000000000002,34.858
Victoria Obligasi Negara,3.5342465753424657,-0.246,0.127,3.66,6.119,13.584,14.011999999999999,27.797,
Bahana Mes Syariah Fund,3.2958904109589042,-0.154,0.9199999999999999,3.1940000000000004,5.691,13.372,11.684999999999999,24.722,
Mandiri Investa Dana Obligasi Seri II,15.23013698630137,-0.383,0.27399999999999997,3.5589999999999997,6.292000000000001,13.071,10.764999999999999,21.844,27.314
BNP Paribas Prima II Kelas RK1,12.56986301369863,-0.259,0.559,3.3770000000000002,6.017,13.049,11.092,23.759,29.936
Kehati Lestari,12.876712328767123,-0.375,0.501,3.472,5.7669999999999995,12.947000000000001,9.78,22.902,32.318999999999996
Capital Fixed Income Fund,4.16986301369863,-0.302,0.84,4.373,7.4079999999999995,12.902,15.338,24.041999999999998,
Pinnacle Indonesia Bond Fund,3.2849315068493152,-0.179,0.676,3.644,6.404,12.884,12.267999999999999,24.639,
Aberdeen Standard Indonesia Government Bond Fund,10.728767123287671,-0.218,0.598,3.47,6.236,12.842999999999998,11.844000000000001,24.392,32.623000000000005
MRS Bond Kresna,12.008219178082191,0.025,0.376,2.5940000000000003,6.165,12.705,17.753,29.770999999999997,67.823
Schroder Dana Mantap Plus II,13.087671232876712,-0.396,0.422,4.122,6.497,12.656,12.567,24.754,33.937
Reksa Dana Syariah Majoris Sukuk Negara Indonesia,2.304109589041096,-0.22599999999999998,0.6819999999999999,1.815,4.556,12.622,11.743,,
Avrist Prime Bond Fund,5.7753424657534245,-0.34299999999999997,0.39899999999999997,3.772,6.632000000000001,12.592999999999998,10.881,24.401,34.294000000000004
Maybank Dana Pasti 2,11.791780821917808,-0.105,0.373,3.527,6.053999999999999,11.962,12.479,24.244,43.082
Majoris Obligasi Utama Indonesia,4.2465753424657535,-0.322,0.313,3.1719999999999997,5.978,11.623999999999999,11.109,21.72,
TRIM Dana Tetap 2,11.778082191780822,-0.14200000000000002,0.717,3.381,5.814,11.413,13.733,24.54,44.606
BNP Paribas Omega,11.4,-0.185,0.379,2.956,5.017,11.236,11.813,20.947,33.33
Sequis Bond Optima,3.4712328767123286,0.029,0.901,3.016,5.734999999999999,10.975999999999999,13.834,25.421,
Syailendra Pendapatan Tetap Premium,2.9315068493150687,0.011000000000000001,1.081,2.391,4.458,10.54,16.453,,
Schroder USD Bond Fund,12.416438356164383,-0.091,1.164,2.189,2.514,10.459,12.586,13.011000000000001,15.595
Medali Dua,12.742465753424657,-0.257,-0.147,3.6310000000000002,6.645,10.033,11.738999999999999,23.521,37.068
Mega Asset Mantap Plus,6.279452054794521,-0.16999999999999998,0.5369999999999999,3.141,6.0089999999999995,9.987,-10.416,-1.598,15.454
Manulife Obligasi Unggulan Kelas A,16.378082191780823,-0.034,0.06,2.959,2.822,9.933,11.962,26.368000000000002,38.316
Batavia Dana Obligasi Ultima,13.027397260273972,-0.11299999999999999,0.635,2.881,5.049,9.572,12.773000000000001,21.589,39.184000000000005
Ganesha Abadi,15.802739726027397,-0.023,1.486,2.302,4.051,9.457,6.3839999999999995,18.423000000000002,32.171
Principal Total Return Bond Fund,15.35890410958904,-0.004,0.763,2.828,5.0680000000000005,9.118,13.141,21.163999999999998,20.147000000000002
Prospera Obligasi,14.712328767123287,-0.11299999999999999,0.601,2.522,4.756,9.003,12.515,23.968999999999998,38.985
BNP Paribas Prima USD Kelas RK1,9.558904109589042,0.008,1.034,2.2190000000000003,2.53,8.97,12.474,14.148,18.556
Mandiri Investa Dana Syariah,11.052054794520547,0.046,0.8210000000000001,2.371,4.268000000000001,6.87,9.447,15.351999999999999,30.629
Manulife Syariah Sukuk Indonesia,2.797260273972603,-0.09,0.123,1.944,3.605,6.857,6.0249999999999995,,
Schroder Income Fund,1.9452054794520548,0.211,1.3299999999999998,2.9139999999999997,5.099,6.3,,,
Mandiri Investa Dana Utama,12.454794520547946,-0.134,0.52,2.1260000000000003,3.3360000000000003,5.367999999999999,4.334,13.059999999999999,23.227
Manulife USD Fixed Income,6.287671232876712,-0.008,0.5349999999999999,1.1360000000000001,1.691,5.087,5.817,5.132,9.309000000000001
Manulife Pendapatan Bulanan II,11.101369863013698,0.068,0.636,1.6650000000000003,2.4619999999999997,4.948,2.513,5.832,6.526999999999999
BNI-AM Dana Pendapatan Tetap Makara Investasi,3.241095890410959,0.015,0.383,1.272,1.718,4.73,9.332,19.714000000000002,
Prospera Obligasi Plus,14.712328767123287,-0.385,-1.122,0.5680000000000001,-0.561,3.512,7.383000000000001,25.848,30.999
Schroder Dana Andalan II,11.323287671232876,0.009000000000000001,0.22599999999999998,0.376,1.022,1.6480000000000001,1.5789999999999997,2.725,4.4110000000000005
MNC Dana Syariah,13.69041095890411,0.013999999999999999,0.41900000000000004,-10.43,-9.447,-6.997000000000001,-2.6679999999999997,4.149,22.705000000000002
MNC Dana Likuid,13.158904109589042,0.022000000000000002,0.662,-12.362,-11.282,-8.837,-5.9959999999999996,0.924,20.274
