nama,umur,one day,one month,three months,six months,one year,two year,three year,five year
BNP Paribas Cakra Syariah USD,4.032876712328767,-0.062,-3.855,0.256,6.308,10.662,13.020000000000001,25.113999999999997,
Schroder Global Sharia Equity Fund,4.016438356164383,-0.233,-4.257,-0.44999999999999996,6.305,1.765,-1.9619999999999997,12.581999999999999,
Aberdeen Standard Syariah Asia Pacific Equity USD Fund,3.8794520547945206,-1.195,-8.581,-4.901,4.43,-0.395,-14.71,-2.229,
Sucorinvest Maxi Fund,5.410958904109589,-1.5810000000000002,-3.849,-3.1,-9.761000000000001,-1.282,8.513,39.814,31.396
Manulife Saham Syariah Asia Pasiﬁk Dollar AS,4.035616438356165,-1.393,-7.263999999999999,-2.987,7.244000000000001,-3.202,-10.334,8.953,
Sucorinvest Sharia Equity Fund,6.306849315068493,-2.0060000000000002,-4.444,-9.731,-16.464000000000002,-5.742,-7.804,28.543000000000003,29.744999999999997
Sucorinvest Equity Fund,7.810958904109589,-1.9480000000000002,-7.845000000000001,-5.682,-11.599,-9.264,-9.385,16.56,55.033
BNI-AM Inspiring Equity Fund,5.895890410958904,-2.0549999999999997,-9.046999999999999,-3.941,-8.116,-10.006,-18.899,-6.3839999999999995,-12.31
Batavia Dana Saham Optimal,13.367123287671232,-1.986,-8.671,-6.263000000000001,-10.646,-11.108,-13.313,3.042,-4.239
Batavia Dana Saham,23.213698630136985,-1.8239999999999998,-8.391,-4.517,-9.53,-11.552,-13.139999999999999,6.482,1.3
Avrist Ada Saham Blue Safir,2.8794520547945206,-2.129,-10.504,-5.268,-6.839,-12.07,-17.628,,
Schroder Dana Prestasi,22.764383561643836,-1.637,-7.562,-4.099,-9.114,-12.185,-13.532,0.608,1.514
Mega Asset Maxima,7.967123287671233,-1.545,-6.84,-2.654,-6.375,-12.316,-14.368,-5.365,-13.902999999999999
Principal Total Return Equity Fund,14.668493150684931,-1.8870000000000002,-9.078999999999999,-5.641,-11.249,-12.506,-15.272,1.2489999999999999,-8.559999999999999
Sequis Equity Maxima,3.5095890410958903,-2.015,-9.377,-5.229,-9.341000000000001,-12.588,-16.832,-1.002,
TRAM Consumption Plus,8.821917808219178,-1.9480000000000002,-8.699,-3.7920000000000003,-10.208,-12.809000000000001,-13.435,6.866,3.873
HPAM Ultima Ekuitas 1,10.23013698630137,-2.3970000000000002,-9.234,-7.337000000000001,-9.13,-13.117,-13.728000000000002,5.805,20.538
Schroder Dana Prestasi Plus,19.435616438356163,-1.625,-7.585,-4.698,-9.544,-13.483999999999998,-16.561999999999998,-2.46,0.40099999999999997
TRIM Kapital,22.956164383561642,-2.104,-9.023,-6.3759999999999994,-13.486,-13.638,-13.550999999999998,5.63,-6.664000000000001
BNP Paribas Ekuitas,19.126027397260273,-1.9380000000000002,-9.073,-4.859,-10.353,-13.688,-18.197,-5.066,-11.440999999999999
TRIM Syariah Saham,13.178082191780822,-2.027,-12.556999999999999,-12.278,-16.64,-13.749,-13.87,-5.369,-11.975
BNP Paribas Infrastruktur Plus,12.983561643835616,-1.844,-9.13,-4.61,-7.563000000000001,-13.793,-16.624,-0.622,-12.623999999999999
Avrist Equity - Cross Sectoral,6.791780821917809,-1.891,-9.821,-5.061999999999999,-10.563,-13.852999999999998,-11.652,0.5459999999999999,-13.408999999999999
Simas Saham Bertumbuh,4.512328767123288,-2.088,-10.52,-6.0089999999999995,-9.200999999999999,-14.19,-22.566,-8.965,
Rencana Cerdas,20.65205479452055,-1.7049999999999998,-8.842,-6.995,-11.964,-14.359,-10.581,4.004,3.646
Syailendra Sharia Equity Fund,2.16986301369863,-2.4819999999999998,-11.489,-11.221,-13.930000000000001,-14.499999999999998,-16.78,,
TRIM Kapital Plus,11.764383561643836,-2.23,-8.873000000000001,-6.4750000000000005,-14.785,-14.722,-15.079,1.472,-15.433
Mega Asset Greater Infrastructure,7.47945205479452,-1.8929999999999998,-9.618,-4.618,-7.165000000000001,-14.732999999999999,-18.898,-10.656,-23.006
Batavia Dana Saham Syariah,12.61917808219178,-2.244,-11.427,-10.806000000000001,-14.860000000000001,-14.782,-17.077,-10.641,-17.488
BNP Paribas Pesona,22.397260273972602,-1.838,-9.030000000000001,-5.017,-11.097,-14.790000000000001,-17.679000000000002,-5.609999999999999,-7.5920000000000005
Principal Indo Domestic Equity Fund,6.884931506849315,-1.8370000000000002,-9.683,-6.639,-13.139000000000001,-14.877,-18.663,-7.762,-22.245
Reksa Dana Capital Optimal Equity,3.0575342465753423,-1.9689999999999999,-9.329,-3.933,-9.003,-15.153,-10.37,-0.9039999999999999,
Schroder 90 Plus Equity Fund,9.860273972602739,-1.481,-7.477,-4.843999999999999,-10.512,-15.265999999999998,-18.887999999999998,-5.840999999999999,-6.248
Maybank Dana Ekuitas,12.857534246575343,-2.021,-9.318999999999999,-4.83,-9.541,-15.268999999999998,-19.974,1.201,-1.425
Principal Smart Equity Fund,5.197260273972603,-2.249,-10.773000000000001,-7.4910000000000005,-13.706,-15.488,-19.215,-7.33,-8.619
Semesta Dana Saham,5.942465753424657,-2.2190000000000003,-10.187,-8.155,-13.186,-15.695999999999998,-18.791,-10.143,-17.862000000000002
Avrist Equity - Amar Syariah,6.35068493150685,-2.423,-12.747,-10.081,-11.277,-15.702,-20.977999999999998,-18.13,-30.381999999999998
Syailendra Equity Opportunity Fund,12.734246575342466,-1.8739999999999999,-8.642,-4.344,-11.32,-15.952,-12.777,7.462000000000001,-1.492
Bahana Dana Prima,23.575342465753426,-1.932,-9.451,-5.210999999999999,-10.997,-15.995999999999999,-22.743,-9.148,-13.58
Bahana Trailblazer Fund,6.736986301369863,-1.789,-9.203999999999999,-5.221,-12.015,-16.012,-23.439,-8.876000000000001,-17.777
Schroder Dana Istimewa,15.178082191780822,-1.775,-7.858999999999999,-6.464,-11.877,-16.205,-18.709999999999997,-10.891,-15.457
BNP Paribas Pesona Syariah,12.819178082191781,-2.165,-10.59,-10.934000000000001,-14.940000000000001,-16.250999999999998,-19.544,-13.697000000000001,-17.705000000000002
Manulife Dana Saham,16.586301369863012,-1.9900000000000002,-9.518,-6.084,-10.597,-16.323999999999998,-23.46,-10.501000000000001,-17.421
Pinnacle Strategic Equity Fund,4.372602739726028,-1.9109999999999998,-9.672,-5.633,-6.934,-16.561999999999998,-21.455,-2.341,
Minna Padi Pasopati Saham,3.3534246575342466,0,0,0,-20.158,-16.802,-15.261,7.39,
Pratama Syariah,5.219178082191781,-1.918,-11.43,-12.019,-17.848,-17.143,-30.413,-21.787,-30.956
Bahana Icon Syariah,5.06027397260274,-1.959,-9.298,-8.637,-14.399999999999999,-17.338,-24.519,-19.979,-21.967
Principal Islamic Equity Growth Syariah,12.473972602739726,-2.4570000000000003,-11.611,-12.249,-16.064,-17.404,-19.67,-16.939,-31.879999999999995
TRAM Infrastructure Plus,7.923287671232877,-2.949,-10.280000000000001,-9.8,-17.041999999999998,-17.821,-19.002,-3.4259999999999997,-17.377000000000002
Manulife Syariah Sektoral Amanah,11.106849315068493,-2.519,-11.496,-12.127,-15.472,-18.168,-22.98,-17.961,-21.724
Mandiri Investa Cerdas Bangsa,11.627397260273973,-2.025,-10.943,-7.542,-13.374,-18.226,-22.056,-9.586,-13.627
Danareksa Mawar Konsumer 10,9.035616438356165,-2.144,-10.478,-7.729,-12.445,-18.326,-21.708,-8.494,-9.864
Simas Danamas Saham,12.405479452054795,-0.8330000000000001,-8.519,-6.158,-8.408,-18.501,-23.93,-13.503000000000002,-18.134
Shinhan Equity Growth,7.53972602739726,-1.308,-9.657,-12.283,-13.605,-18.833,-0.781,12.617999999999999,24.381
Dana Pratama Ekuitas,16.052054794520547,-1.8370000000000002,-9.995,-7.587000000000001,-14.63,-18.843,-26.334999999999997,-10.358,-16.107
Cipta Syariah Equity,11.868493150684932,-2.18,-11.983,-12.534,-16.159000000000002,-18.931,-25.283,-23.195,-28.077
Mandiri Investa Atraktif Syariah,12.098630136986301,-2.442,-12.313,-12.035,-17.216,-19.299,-21.789,-17.904999999999998,-25.212
Majoris Saham Alokasi Dinamik Indonesia,4.2465753424657535,-2.12,-10.942,-8.277,-11.314,-19.566,-23.672,-12.817,
Prospera Bijak,8.665753424657535,-1.7579999999999998,-9.399000000000001,-7.908999999999999,-13.072000000000001,-19.694,-16.858,-3.5450000000000004,-3.074
Pratama Saham,13.835616438356164,-1.9009999999999998,-10.334,-8.266,-15.503,-19.761,-27.925,-11.754000000000001,-19.411
Manulife Greater Indonesia Fund,8.46027397260274,-2.614,-11.213,-5.926,-11.948,-20.058,-22.58,-13.343,-20.064999999999998
RHB Alpha Sector Rotation,9.534246575342467,-2.059,-9.088000000000001,-7.033,-13.627,-20.331,-22.614,-7.718999999999999,-8.612
Manulife Saham Andalan,12.331506849315069,-2.2159999999999997,-9.876,-7.084,-14.402000000000001,-20.878,-21.921,-10.870000000000001,-17.074
BNP Paribas Solaris,11.794520547945206,-2.075,-9.569999999999999,-9.899,-16.025,-20.884,-17.449,-7.566000000000001,-17.807000000000002
MNC Dana Ekuitas,11.698630136986301,-1.8739999999999999,-9.171999999999999,-6.39,-13.806,-20.945,-25.454,-17.161,-15.221000000000002
Prospera BUMN Growth Fund,4.810958904109589,-1.772,-9.256,-7.914000000000001,-15.408,-21.065,-19.831,-4.568,
MNC Dana Syariah Ekuitas,7.043835616438356,-2.685,-11.282,-10.82,-16.539,-22.918,-25.646,-16.987,-23.066
Manulife Saham SMC Plus,7.002739726027397,-2.742,-12.413,-13.4,-18.19,-24.55,-29.201,-26.711000000000002,-39.412000000000006
Simas Saham Unggulan,7.197260273972603,-1.4909999999999999,-8.638,-14.116000000000001,-21.159,-26.809,-18.836,9.037,-0.338
Prospera Saham SMC,2.8575342465753426,-1.8769999999999998,-11.166,-13.239999999999998,-22.109,-29.485,-16.771,,
Simas Syariah Unggulan,5.558904109589041,-1.6760000000000002,-11.947000000000001,-19.453,-28.402,-33.278999999999996,-22.384999999999998,-12.354,-29.482999999999997
HPAM Syariah Ekuitas,5.504109589041096,-2.22,-0.505,-10.151,-19.152,-36.095,-41.948,-44.556000000000004,-44.021
Aurora Dana Ekuitas,2.5561643835616437,-1.072,-9.794,-30.086000000000002,-49.754,-71.573,-75.017,,
Narada Saham Indonesia,6.67945205479452,-1.8110000000000002,-25.655,-49.975,-76.85,-76.779,-75.778,-67.374,-69.894
